HorasEstudio,NotaExamen,Aprobado/Desaprobado
10,19,aprobado
10,20,aprobado
8,16.5,aprobado
3,10.5,aprobado
7,15,aprobado
10,18,aprobado
2,10.4,desaprobado
2,11,aprobado
3,10.4,desaprobado
7,15,aprobado
10,20,aprobado
2,10.5,aprobado
2,10.5,aprobado
2,10.5,aprobado
7,15,aprobado
10,18,aprobado
2,10.2,desaprobado
2,11,aprobado
3,10,desaprobado
10,19,aprobado
2,10.5,aprobado
2,10.5,aprobado
2,10.5,aprobado
7,15,aprobado
10,18,aprobado
2,10.1,desaprobado
2,10.8,aprobado
10,19,aprobado
10,20,aprobado
8,16.5,aprobado
3,10.4,desaprobado
7,15,aprobado
10,18,aprobado
